"imdb_url","season","episode_number_relative","episode_number_absolute","title","airdate","rating","reviews_amount"
"https://www.imdb.com/title/tt0701190/?ref_=ttep_ep14","12","14","262","New Kids on the Blecch","2001-02-25","72","1900"
"https://www.imdb.com/title/tt0701130/?ref_=ttep_ep15","12","15","263","Hungry Hungry Homer","2001-03-04","75","1800"
"https://www.imdb.com/title/tt0701079/?ref_=ttep_ep16","12","16","264","Bye Bye Nerdy","2001-03-11","67","1700"
"https://www.imdb.com/title/tt0701213/?ref_=ttep_ep17","12","17","265","Simpson Safari","2001-04-01","68","1800"
"https://www.imdb.com/title/tt0701288/?ref_=ttep_ep18","12","18","266","Trilogy of Error","2001-04-29","86","2600"
"https://www.imdb.com/title/tt0701133/?ref_=ttep_ep19","12","19","267","I'm Goin' to Praiseland","2001-05-06","72","2000"
"https://www.imdb.com/title/tt0765966/?ref_=ttep_ep20","12","20","268","Children of a Lesser Clod","2001-05-13","72","1600"
"https://www.imdb.com/title/tt0766139/?ref_=ttep_ep21","12","21","269","Simpsons Tall Tales","2001-05-20","69","1700"
"https://www.imdb.com/title/tt0701284/?ref_=ttep_ep1","13","1","270","Treehouse of Horror XII","2001-11-06","76","2100"
"https://www.imdb.com/title/tt0701255/?ref_=ttep_ep2","13","2","271","The Parent Rap","2001-11-11","71","1700"
"https://www.imdb.com/title/tt0701116/?ref_=ttep_ep3","13","3","272","Homer the Moe","2001-11-18","71","1600"
"https://www.imdb.com/title/tt0701044/?ref_=ttep_ep4","13","4","273","A Hunka Hunka Burns in Love","2001-12-02","71","1600"
"https://www.imdb.com/title/tt0701226/?ref_=ttep_ep5","13","5","274","The Blunder Years","2001-12-09","76","2100"
"https://www.imdb.com/title/tt0701206/?ref_=ttep_ep6","13","6","275","She of Little Faith","2001-12-16","71","1700"
"https://www.imdb.com/title/tt0701074/?ref_=ttep_ep7","13","7","276","Brawl in the Family","2002-01-06","68","1600"
"https://www.imdb.com/title/tt0701221/?ref_=ttep_ep8","13","8","277","Sweets and Sour Marge","2002-01-20","69","1600"
"https://www.imdb.com/title/tt0701141/?ref_=ttep_ep9","13","9","278","Jaws Wired Shut","2002-01-27","73","1600"
"https://www.imdb.com/title/tt0701104/?ref_=ttep_ep10","13","10","279","Half-Decent Proposal","2002-02-10","73","1900"
"https://www.imdb.com/title/tt0701225/?ref_=ttep_ep11","13","11","280","The Bart Wants What It Wants","2002-02-17","70","1500"
"https://www.imdb.com/title/tt0701249/?ref_=ttep_ep12","13","12","281","The Lastest Gun in the West","2002-02-24","65","1600"
"https://www.imdb.com/title/tt0701252/?ref_=ttep_ep13","13","13","282","The Old Man and the Key","2002-03-10","65","1500"
"https://www.imdb.com/title/tt0763038/?ref_=ttep_ep14","13","14","283","Tales from the Public Domain","2002-03-17","72","1500"
"https://www.imdb.com/title/tt0763028/?ref_=ttep_ep15","13","15","284","Blame It on Lisa","2002-03-31","70","1600"
"https://www.imdb.com/title/tt0701291/?ref_=ttep_ep16","13","16","285","Weekend at Burnsie's","2002-04-07","77","1800"
"https://www.imdb.com/title/tt0701103/?ref_=ttep_ep17","13","17","286","Gump Roast","2002-04-21","54","1700"
"https://www.imdb.com/title/tt0701132/?ref_=ttep_ep18","13","18","287","I Am Furious Yellow","2002-04-28","77","1700"
"https://www.imdb.com/title/tt0701264/?ref_=ttep_ep19","13","19","288","The Sweetest Apu","2002-05-05","68","1500"
"https://www.imdb.com/title/tt0701167/?ref_=ttep_ep20","13","20","289","Little Girl in the Big Ten","2002-05-12","71","1500"
"https://www.imdb.com/title/tt0701238/?ref_=ttep_ep21","13","21","290","The Frying Game","2002-05-19","70","1500"
"https://www.imdb.com/title/tt0701196/?ref_=ttep_ep22","13","22","291","Papa's Got a Brand New Badge","2002-05-22","78","2200"
"https://www.imdb.com/title/tt0763041/?ref_=ttep_ep1","14","1","292","Treehouse of Horror XIII","2002-11-03","76","1900"
"https://www.imdb.com/title/tt0701129/?ref_=ttep_ep2","14","2","293","How I Spent My Strummer Vacation","2002-11-10","74","1700"
"https://www.imdb.com/title/tt0701061/?ref_=ttep_ep3","14","3","294","Bart vs. Lisa vs. 3rd Grade","2002-11-17","71","1600"
"https://www.imdb.com/title/tt0701150/?ref_=ttep_ep4","14","4","295","Large Marge","2002-11-24","71","1700"
"https://www.imdb.com/title/tt0701106/?ref_=ttep_ep5","14","5","296","Helter Shelter","2002-12-01","67","1600"
"https://www.imdb.com/title/tt0701240/?ref_=ttep_ep6","14","6","297","The Great Louse Detective","2002-12-15","73","1600"
"https://www.imdb.com/title/tt0701216/?ref_=ttep_ep7","14","7","298","Special Edna","2003-01-05","70","1600"
"https://www.imdb.com/title/tt0701233/?ref_=ttep_ep8","14","8","299","The Dad Who Knew Too Little","2003-01-12","73","1500"
"https://www.imdb.com/title/tt0701218/?ref_=ttep_ep9","14","9","300","The Strong Arms of the Ma","2003-02-02","68","1600"
"https://www.imdb.com/title/tt0701199/?ref_=ttep_ep10","14","10","301","Pray Anything","2003-02-09","68","1500"
"https://www.imdb.com/title/tt0701067/?ref_=ttep_ep11","14","11","302","Barting Over","2003-02-16","67","1600"
"https://www.imdb.com/title/tt0701134/?ref_=ttep_ep12","14","12","303","I'm Spelling as Fast as I Can","2003-02-16","72","1500"
"https://www.imdb.com/title/tt0701046/?ref_=ttep_ep13","14","13","304","A Star Is Born Again","2003-03-02","69","1500"
"https://www.imdb.com/title/tt0701185/?ref_=ttep_ep14","14","14","305","Mr. Spritz Goes to Washington","2003-03-09","68","1400"
"https://www.imdb.com/title/tt0793253/?ref_=ttep_ep15","14","15","306","C.E.D'oh","2003-03-16","71","1400"
"https://www.imdb.com/title/tt0701042/?ref_=ttep_ep16","14","16","307","'Scuse Me While I Miss the Sky","2003-03-30","71","1400"
"https://www.imdb.com/title/tt0701274/?ref_=ttep_ep17","14","17","308","Three Gays of the Condo","2003-04-13","72","1500"
"https://www.imdb.com/title/tt0701090/?ref_=ttep_ep18","14","18","309","Dude, Where's My Ranch?","2003-04-27","69","1600"
"https://www.imdb.com/title/tt0701193/?ref_=ttep_ep19","14","19","310","Old Yeller-Belly","2003-05-04","67","1400"
"https://www.imdb.com/title/tt0701073/?ref_=ttep_ep20","14","20","311","Brake My Wife, Please","2003-05-11","67","1400"
"https://www.imdb.com/title/tt0784544/?ref_=ttep_ep21","14","21","312","The Bart of War","2003-05-18","66","1500"
"https://www.imdb.com/title/tt0701179/?ref_=ttep_ep22","14","22","313","Moe Baby Blues","2003-05-18","76","2100"
"https://www.imdb.com/title/tt0701285/?ref_=ttep_ep1","15","1","314","Treehouse of Horror XIV","2003-11-02","75","1900"
"https://www.imdb.com/title/tt0701188/?ref_=ttep_ep2","15","2","315","My Mother the Carjacker","2003-11-09","72","1500"
"https://www.imdb.com/title/tt0701256/?ref_=ttep_ep3","15","3","316","The President Wore Pearls","2003-11-16","69","1600"
"https://www.imdb.com/title/tt0701258/?ref_=ttep_ep4","15","4","317","The Regina Monologues","2003-11-23","70","1600"
"https://www.imdb.com/title/tt0701235/?ref_=ttep_ep5","15","5","318","The Fat and the Furriest","2003-11-30","71","1500"
"https://www.imdb.com/title/tt0701276/?ref_=ttep_ep6","15","6","319","Today, I Am a Clown","2003-12-07","64","1400"
"https://www.imdb.com/title/tt0789632/?ref_=ttep_ep7","15","7","320","'Tis the Fifteenth Season","2003-12-14","71","1500"
"https://www.imdb.com/title/tt0763034/?ref_=ttep_ep8","15","8","321","Marge vs. Singles, Seniors, Childless Couples and Teens and Gays","2004-01-04","67","1400"
"https://www.imdb.com/title/tt0763032/?ref_=ttep_ep9","15","9","322","I, (Annoyed Grunt)-Bot","2004-01-11","73","1500"
"https://www.imdb.com/title/tt0701088/?ref_=ttep_ep10","15","10","323","Diatribe of a Mad Housewife","2004-01-25","72","1500"
"https://www.imdb.com/title/tt0784540/?ref_=ttep_ep11","15","11","324","Margical History Tour","2004-02-08","71","1400"
"https://www.imdb.com/title/tt0701175/?ref_=ttep_ep12","15","12","325","Milhouse Doesn't Live Here Anymore","2004-02-15","72","1500"
"https://www.imdb.com/title/tt0701214/?ref_=ttep_ep13","15","13","326","Smart & Smarter","2004-02-22","71","1500"
"https://www.imdb.com/title/tt0701271/?ref_=ttep_ep14","15","14","327","The Ziff Who Came to Dinner","2004-03-14","67","1400"
"https://www.imdb.com/title/tt0701081/?ref_=ttep_ep15","15","15","328","Co-Dependent's Day","2004-03-21","67","1400"
"https://www.imdb.com/title/tt0701268/?ref_=ttep_ep16","15","16","329","The Wandering Juvie","2004-03-28","70","1500"
"https://www.imdb.com/title/tt0701187/?ref_=ttep_ep17","15","17","330","My Big Fat Geek Wedding","2004-04-18","66","1500"
"https://www.imdb.com/title/tt0784101/?ref_=ttep_ep18","15","18","331","Catch 'Em If You Can","2004-04-25","71","1500"
"https://www.imdb.com/title/tt0701209/?ref_=ttep_ep19","15","19","332","Simple Simpson","2004-05-02","73","1500"
"https://www.imdb.com/title/tt0784545/?ref_=ttep_ep20","15","20","333","The Way We Weren't","2004-05-09","72","1500"
"https://www.imdb.com/title/tt0763027/?ref_=ttep_ep21","15","21","334","Bart-Mangled Banner","2004-05-16","63","1400"
"https://www.imdb.com/title/tt0763030/?ref_=ttep_ep22","15","22","335","Fraudcast News","2004-05-23","72","1400"
"https://www.imdb.com/title/tt0701286/?ref_=ttep_ep1","16","1","336","Treehouse of Horror XV","2004-11-07","74","1800"
"https://www.imdb.com/title/tt0701051/?ref_=ttep_ep2","16","2","337","All's Fair in Oven War","2004-11-14","69","1400"
"https://www.imdb.com/title/tt0784543/?ref_=ttep_ep3","16","3","338","Sleeping with the Enemy","2004-11-21","72","1500"
"https://www.imdb.com/title/tt0701205/?ref_=ttep_ep4","16","4","339","She Used to Be My Girl","2004-12-05","65","1400"
"https://www.imdb.com/title/tt0701096/?ref_=ttep_ep5","16","5","340","Fat Man and Little Boy","2004-12-12","70","1400"
"https://www.imdb.com/title/tt0784541/?ref_=ttep_ep6","16","6","341","Midnight Rx","2005-01-16","72","1400"
"https://www.imdb.com/title/tt0763036/?ref_=ttep_ep7","16","7","342","Mommie Beerest","2005-01-30","69","1300"
"https://www.imdb.com/title/tt0701113/?ref_=ttep_ep8","16","8","343","Homer and Ned's Hail Mary Pass","2005-02-06","63","1400"
"https://www.imdb.com/title/tt0701198/?ref_=ttep_ep9","16","9","344","Pranksta Rap","2005-02-13","66","1500"
"https://www.imdb.com/title/tt0757022/?ref_=ttep_ep10","16","10","345","There's Something About Marrying","2005-02-20","69","1400"
"https://www.imdb.com/title/tt0701194/?ref_=ttep_ep11","16","11","346","On a Clear Day I Can't See My Sister","2005-03-06","67","1400"
"https://www.imdb.com/title/tt0701100/?ref_=ttep_ep12","16","12","347","Goo Goo Gai Pan","2005-03-13","70","1400"
"https://www.imdb.com/title/tt0763035/?ref_=ttep_ep13","16","13","348","Mobile Homer","2005-03-20","68","1300"
"https://www.imdb.com/title/tt0701260/?ref_=ttep_ep14","16","14","349","The Seven-Beer Snitch","2005-04-03","68","1300"
"https://www.imdb.com/title/tt0701099/?ref_=ttep_ep15","16","15","350","Future-Drama","2005-04-17","73","1500"
"https://www.imdb.com/title/tt0701089/?ref_=ttep_ep16","16","16","351","Don't Fear the Roofer","2005-05-01","75","1600"
"https://www.imdb.com/title/tt0701242/?ref_=ttep_ep17","16","17","352","The Heartbroke Kid","2005-05-01","72","1400"
"https://www.imdb.com/title/tt0701047/?ref_=ttep_ep18","16","18","353","A Star Is Torn","2005-05-08","67","1400"
"https://www.imdb.com/title/tt0701224/?ref_=ttep_ep19","16","19","354","Thank God It's Doomsday","2005-05-08","72","1400"
"https://www.imdb.com/title/tt0701107/?ref_=ttep_ep20","16","20","355","Home Away from Homer","2005-05-15","71","1300"
"https://www.imdb.com/title/tt0701236/?ref_=ttep_ep21","16","21","356","The Father, the Son, and the Holy Guest Star","2005-05-15","73","1500"
"https://www.imdb.com/title/tt0701071/?ref_=ttep_ep1","17","1","357","The Bonfire of the Manatees","2005-09-11","62","1500"
"https://www.imdb.com/title/tt0701239/?ref_=ttep_ep2","17","2","358","The Girl Who Slept Too Little","2005-09-18","68","1400"
"https://www.imdb.com/title/tt0757020/?ref_=ttep_ep3","17","3","359","Milhouse of Sand and Fog","2005-09-25","69","1300"
"https://www.imdb.com/title/tt0701287/?ref_=ttep_ep4","17","4","360","Treehouse of Horror XVI","2005-11-06","73","1700"
"https://www.imdb.com/title/tt0757019/?ref_=ttep_ep5","17","5","361","Marge's Son Poisoning","2005-11-13","69","1400"
"https://www.imdb.com/title/tt0784542/?ref_=ttep_ep6","17","6","362","See Homer Run","2005-11-20","68","1400"
"https://www.imdb.com/title/tt0701248/?ref_=ttep_ep7","17","7","363","The Last of the Red Hat Mamas","2005-11-27","66","1400"
"https://www.imdb.com/title/tt0701244/?ref_=ttep_ep8","17","8","364","The Italian Bob","2005-12-11","71","1600"
"https://www.imdb.com/title/tt0782576/?ref_=ttep_ep9","17","9","365","Simpsons Christmas Stories","2005-12-18","68","1400"
"https://www.imdb.com/title/tt0701125/?ref_=ttep_ep10","17","10","366","Homer's Paternity Coot","2006-01-08","66","1400"
"https://www.imdb.com/title/tt0758509/?ref_=ttep_ep11","17","11","367","We're on the Road to D'ohwhere","2006-01-29","69","1300"
"https://www.imdb.com/title/tt0773649/?ref_=ttep_ep12","17","12","368","My Fair Laddy","2006-02-26","65","1400"
